Feature,PFI_importance,Rank,Pipeline_No,Pipeline_R2,Pipeline_Feature_Count,Pipeline_Selector,Pipeline_Root
1.281483834_dominant,0.03322067549807461,1,1,0.015188612,1,SequentialFeatureSelectorRF,RandomForestRegressor
1.281483834_dominant,0.03307797931126564,1,2,0.023383506,2,SelectFwe,LinearRegression
18.32316331_heterosis,0.007101460884998139,2,2,0.023383506,2,SelectFwe,LinearRegression
1.280732811_superadd,0.02220818047876859,1,3,0.029446391,3,SelectFwe,LinearRegression
19.24723067_pager,0.015783289933295804,2,3,0.029446391,3,SelectFwe,LinearRegression
17.69127482_pager,0.008149772832255563,3,3,0.029446391,3,SelectFwe,LinearRegression
1.281788173_dominant,0.03460025372130546,1,4,0.048456892,6,SelectFwe,LinearRegression
10.93564208_subadd,0.013656733061264465,2,4,0.048456892,6,SelectFwe,LinearRegression
4.179238655_additive,0.01362751579180722,3,4,0.048456892,6,SelectFwe,LinearRegression
2.242739353_additive,0.010380528360036743,4,4,0.048456892,6,SelectFwe,LinearRegression
18.19715963_subadd,0.009056912183292515,5,4,0.048456892,6,SelectFwe,LinearRegression
17.69127482_pager,0.0077366871228654365,6,4,0.048456892,6,SelectFwe,LinearRegression
1.281788173_dominant,0.03619243867006697,1,5,0.049434148,5,SelectFwe,LinearRegression
4.179238655_additive,0.015044460100407187,2,5,0.049434148,5,SelectFwe,LinearRegression
3.110011039_recessive,0.012399245045876807,3,5,0.049434148,5,SelectFwe,LinearRegression
10.93564208_subadd,0.011894261461936643,4,5,0.049434148,5,SelectFwe,LinearRegression
18.19715963_subadd,0.010036892491231653,5,5,0.049434148,5,SelectFwe,LinearRegression
10.84091208_pager,0.01580112540513841,1,6,0.053790238,7,SelectFwe,LinearRegression
19.24723067_pager,0.011549401342539234,2,6,0.053790238,7,SelectFwe,LinearRegression
9.68062599_additive,0.010802064154332807,3,6,0.053790238,7,SelectFwe,LinearRegression
8.79025631_subadd,0.010412582877728265,4,6,0.053790238,7,SelectFwe,LinearRegression
3.110761715_recessive,0.009547725722992251,5,6,0.053790238,7,SelectFwe,LinearRegression
1.197403848_superadd,0.008796305318134908,6,6,0.053790238,7,SelectFwe,LinearRegression
10.93564208_subadd,0.0055688986803718345,7,6,0.053790238,7,SelectFwe,LinearRegression
18.27348077_dominant,0.01877768547003372,1,7,0.05550335,11,SelectFwe,LinearRegression
3.110011039_recessive,0.011954244053455547,2,7,0.05550335,11,SelectFwe,LinearRegression
1.107177143_additive,0.011096959800778974,3,7,0.05550335,11,SelectFwe,LinearRegression
1.281788173_dominant,0.009701767797087289,4,7,0.05550335,11,SelectFwe,LinearRegression
10.21658055_subadd,0.00741680920012018,5,7,0.05550335,11,SelectFwe,LinearRegression
1.170966011_pager,0.005229760673688834,6,7,0.05550335,11,SelectFwe,LinearRegression
1.197417764_dominant,0.0040605015083403926,7,7,0.05550335,11,SelectFwe,LinearRegression
1.280631871_superadd,0.0037744714284056757,8,7,0.05550335,11,SelectFwe,LinearRegression
1.276933103_subadd,0.0035218628027313893,9,7,0.05550335,11,SelectFwe,LinearRegression
1.281519574_dominant,0.0018898449379349503,10,7,0.05550335,11,SelectFwe,LinearRegression
1.187688091_pager,0.0013766838005280912,11,7,0.05550335,11,SelectFwe,LinearRegression
19.24723067_pager,0.013738294525749824,1,8,0.059757136,6,SelectFwe,LinearRegression
10.21577856_subadd,0.012977316643024386,2,8,0.059757136,6,SelectFwe,LinearRegression
9.64748357_superadd,0.011411643795523134,3,8,0.059757136,6,SelectFwe,LinearRegression
17.69127482_pager,0.009376894563253257,4,8,0.059757136,6,SelectFwe,LinearRegression
8.79025631_subadd,0.008579779461641101,5,8,0.059757136,6,SelectFwe,LinearRegression
18.32316331_heterosis,0.005378393643119133,6,8,0.059757136,6,SelectFwe,LinearRegression
3.136492861_additive,0.01746199116187243,1,9,0.06570083,8,SelectFwe,LinearRegression
18.27348077_dominant,0.014726751908410794,2,9,0.06570083,8,SelectFwe,LinearRegression
7.128995396_subadd,0.01114593592757153,3,9,0.06570083,8,SelectFwe,LinearRegression
2.61185083_pager,0.011114389133598919,4,9,0.06570083,8,SelectFwe,LinearRegression
1.282080763_pager,0.010953239405755148,5,9,0.06570083,8,SelectFwe,LinearRegression
17.69127482_pager,0.008223905200467972,6,9,0.06570083,8,SelectFwe,LinearRegression
1.277459097_dominant,0.005623401389037752,7,9,0.06570083,8,SelectFwe,LinearRegression
18.32316331_heterosis,0.002157147187025246,8,9,0.06570083,8,SelectFwe,LinearRegression
1.280666476_superadd,0.02091397025624113,1,10,0.07690039,11,SelectFwe,LinearRegression
10.93564208_subadd,0.01405037320045818,2,10,0.07690039,11,SelectFwe,LinearRegression
3.136492861_additive,0.013416246882920384,3,10,0.07690039,11,SelectFwe,LinearRegression
19.24723067_pager,0.011733600100559358,4,10,0.07690039,11,SelectFwe,LinearRegression
7.129397024_subadd,0.010637857008157838,5,10,0.07690039,11,SelectFwe,LinearRegression
9.64125268_pager,0.010122445079860288,6,10,0.07690039,11,SelectFwe,LinearRegression
17.69127482_pager,0.006670067231188296,7,10,0.07690039,11,SelectFwe,LinearRegression
2.61185083_pager,0.005705727479581599,8,10,0.07690039,11,SelectFwe,LinearRegression
18.32316331_heterosis,0.003670234105143102,9,10,0.07690039,11,SelectFwe,LinearRegression
1.202204246_superadd,0.0036256379724282396,10,10,0.07690039,11,SelectFwe,LinearRegression
1.192973625_pager,0.003498604473684235,11,10,0.07690039,11,SelectFwe,LinearRegression
17.28068141_pager,0.011393136925290754,1,11,0.09490139,22,SelectFromExtraTrees,LinearRegression
1.196708325_pager,0.011167577079350037,2,11,0.09490139,22,SelectFromExtraTrees,LinearRegression
4.180821496_superadd,0.007406487235440457,3,11,0.09490139,22,SelectFromExtraTrees,LinearRegression
6.50547385_subadd,0.006141410039196906,4,11,0.09490139,22,SelectFromExtraTrees,LinearRegression
8.97595177_additive,0.004898538480239725,5,11,0.09490139,22,SelectFromExtraTrees,LinearRegression
7.127010208_additive,0.004350687448642438,6,11,0.09490139,22,SelectFromExtraTrees,LinearRegression
1.275407543_superadd,0.004177111934139913,7,11,0.09490139,22,SelectFromExtraTrees,LinearRegression
